ANGGOTA:;;;;;
23.11.5502      IKHSANUDIN;;;;;
23.11.5506      IKHSANUDDIN AHMAD FAUZI;;;;;
23.11.5519      MUHAMMAD ZAIDAN ELHA RASYAD;;;;;
23.11.5521      WAHID NURROHIM;;;;;
;;;;;
Date;Open;High;Low;Close;Volume
2004.06.06 00:00;384;384.08.00;382.08.00;384.01.00;272
2004.06.13 00:00;384.03.00;395.08.00;381.01.00;394.03.00;9692
2004.06.20 00:00;394.03.00;402.08.00;392.01.00;401.01.00;8509
2004.06.27 00:00;401.08.00;404.06.00;390.03.00;397.08.00;9682
2004.07.04 00:00;397.08.00;408.06.00;388.05.00;407.01.00;3507
2004.07.11 00:00;407.03.00;408.03.00;399.06.00;406.01.00;6227
2004.07.18 00:00;405.05.00;407.05.00;386.05.00;389.03.00;8279
2004.07.25 00:00;389.03.00;393.01.00;384.05.00;390.05.00;13575
2004.08.01 00:00;390.03.00;400.03.00;388.01.00;398.08.00;11955
2004.08.08 00:00;399.01.00;400.06.00;391.08.00;398.01.00;8836
2004.08.15 00:00;398.03.00;413.08.00;397.06.00;412.02.00;6438
2004.08.22 00:00;411.08.00;411.08.00;400.08.00;402.03.00;11214
2004.08.29 00:00;402.03.00;410.08.00;398.06.00;399.08.00;6689
2004.09.05 00:00;400.06.00;402.03.00;394.03.00;402.03.00;9470
2004.09.12 00:00;401.01.00;406.06.00;398.01.00;405;11576
2004.09.19 00:00;404.08.00;411.06.00;402.08.00;407.01.00;10078
2004.09.26 00:00;407.03.00;419.03.00;406.06.00;419;12630
2004.10.03 00:00;418.03.00;423.03.00;411.03.00;422.03.00;6942
2004.10.10 00:00;422.05.00;422.06.00;409.01.00;418.03.00;5509
2004.10.17 00:00;418.01.00;425.08.00;414.03.00;423.07.00;5724
2004.10.24 00:00;426;430.02.00;420.03.00;428.01.00;6326
2004.10.31 00:00;429.06.00;433.06.00;416.08.00;433.01.00;6481
2004.11.07 00:00;433.06.00;438.05.00;430.07.00;437.03.00;5903
2004.11.14 00:00;438.03.00;447.08.00;434.08.00;446.06.00;8203
2004.11.21 00:00;446.03.00;454.08.00;445.05.00;451.03.00;3526
2004.11.28 00:00;451.03.00;456.03.00;446.06.00;448.03.00;5187
2004.12.05 00:00;455.01.00;455.08.00;431.05.00;433.07.00;10304
2004.12.12 00:00;434.03.00;442.03.00;434.01.00;441;6067
2004.12.19 00:00;441.03.00;443.06.00;438.03.00;441.08.00;3003
2004.12.26 00:00;442.06.00;445.01.00;433.01.00;437;3970
2005.01.02 00:00;437.01.00;437.03.00;416.05.00;418.06.00;6861
2005.01.09 00:00;419.01.00;427.03.00;418.03.00;422.06.00;8541
2005.01.16 00:00;421.08.00;427.08.00;419.06.00;426.07.00;6582
2005.01.23 00:00;426.05.00;427.06.00;420.03.00;426.05.00;8359
2005.01.30 00:00;425.05.00;425.05.00;413.03.00;414.02.00;9038
2005.02.06 00:00;413.08.00;421.06.00;409.08.00;420.03.00;9469
2005.02.13 00:00;420.05.00;428.01.00;420.05.00;426.08.00;9953
2005.02.20 00:00;430.01.00;436.03.00;429.08.00;434.08.00;8002
2005.02.27 00:00;434.06.00;437.07.00;428.03.00;433.08.00;9004
2005.03.06 00:00;433.08.00;446.06.00;431.08.00;444.03.00;5338
2005.03.13 00:00;444.08.00;444.08.00;435.05.00;438.08.00;4675
2005.03.20 00:00;439.02.00;439.02.00;423.05.00;423.08.00;5063
2005.03.27 00:00;424.03.00;428.05.00;423.01.00;425.01.00;6399
2005.04.03 00:00;425.01.00;428;421.08.00;426.01.00;7607
2005.04.10 00:00;425.08.00;429.06.00;421.07.00;423.08.00;8335
2005.04.17 00:00;424;435.02.00;422.08.00;433.07.00;7461
2005.04.24 00:00;433.07.00;437.02.00;429.08.00;434;7943
2005.05.01 00:00;433.08.00;434.01.00;423.02.00;425.03.00;8558
2005.05.08 00:00;425.03.00;428;418.02.00;419.03.00;10833
2005.05.15 00:00;419.08.00;422.08.00;416.03.00;417.01.00;7774
2005.05.22 00:00;417.02.00;419.08.00;415.03.00;419.06.00;6824
2005.05.29 00:00;417.01.00;424.03.00;413.03.00;421.08.00;3111
2005.06.05 00:00;422.03.00;427.08.00;420.06.00;426.06.00;3849
2005.06.12 00:00;425.08.00;438.08.00;423.05.00;437.01.00;4139
2005.06.19 00:00;437;443.02.00;433.06.00;439.03.00;3975
2005.06.26 00:00;439.03.00;439.08.00;426.03.00;426.08.00;3520
2005.07.03 00:00;427.02.00;428.03.00;421.03.00;422.06.00;2783
2005.07.10 00:00;423.03.00;427.03.00;417.08.00;421.01.00;3828
2005.07.17 00:00;421.03.00;426.05.00;418.05.00;424.05.00;2978
